file	sample	sample_name	condition	replicate
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_F_75ng_A1_2-8-2024_Slot1-01_10441.d	female_1	female_1	female	1
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_F_75ng_A3_2-8-2024_Slot1-03_10443.d	female_3	female_3	female	2
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_F_75ng_A5_2-8-2024_Slot1-05_10445.d	female_5	female_5	female	3
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_F_75ng_A7_2-8-2024_Slot1-07_10450.d	female_7	female_7	female	4
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_F_75ng_A9_2-9-2024_Slot1-09_10452.d	female_9	female_9	female	5
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_F_75ng_A11_2-9-2024_Slot1-11_10454.d	female_11	female_11	female	6
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_M_75ng_B1_2-9-2024_Slot1-13_10459.d	male_1	male_1	male	1
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_M_75ng_B3_2-9-2024_Slot1-15_10461.d	male_3	male_3	male	2
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_M_75ng_B5_2-9-2024_Slot1-17_10463.d	male_5	male_5	male	3
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_M_75ng_B7_2-9-2024_Slot1-19_10468.d	male_7	male_7	male	4
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_M_75ng_B9_2-9-2024_Slot1-21_10470.d	male_9	male_9	male	5
D:\Lucy\20240209_astrocytes_TTPro2\Lucy_astro_M_75ng_B11_2-10-2024_Slot1-23_10472.d	male_11	male_11	male	6
